model,accuracy,precision,recall,f1,confusion_matrix_image,feature_importance_image,model_file
random_forest,0.6624869383490073,0.862453531598513,0.27586206896551724,0.418018018018018,/Users/miguelmercado/Documents/7mo Semestre/FDAA/outputs/confusion_matrix_random_forest.png,,/Users/miguelmercado/Documents/7mo Semestre/FDAA/outputs/random_forest_model.joblib
gradient_boosting,0.7878787878787878,0.7382256297918949,0.8014268727705113,0.7685290763968073,/Users/miguelmercado/Documents/7mo Semestre/FDAA/outputs/confusion_matrix_gradient_boosting.png,,/Users/miguelmercado/Documents/7mo Semestre/FDAA/outputs/gradient_boosting_model.joblib
