Modelo,CV Mean R²,CV Std,Test R²,RMSE,MAE,MSE
Linear Regression,1.0,0.0,1.0,2.262918594654197e-15,1.756974691650286e-15,5.120800566031725e-30
Ridge Regression,0.9999954043659687,1.483161147246871e-07,0.9999968645980386,0.0019749551362225615,0.0014668172916485675,3.900447790091877e-06
Decision Tree,0.9999984991410062,3.001717987594077e-06,0.9999876897867741,0.0039133024009741476,0.00015313935682222858,1.531393568147003e-05
Gradient Boosting,0.9999994281283472,9.407203169153932e-07,0.999987081458241,0.004008827494464754,0.00030228554791775957,1.607069788037656e-05
Random Forest,0.999998494248125,1.782047880720956e-06,0.9999708118689308,0.006025786852980281,0.0002764165390600412,3.631010719755e-05
Lasso Regression,0.9999228182651458,5.262206265273044e-07,0.9999228634289685,0.009795819773234227,0.007957830894008772,9.595808502968668e-05
KNN Regressor,0.9961921683671366,0.002691419008483447,0.9960316796644986,0.07026094438789383,0.01905053598774885,0.004936600306278711
SVR,0.9954527416229704,0.0011424990791674332,0.9944891170297606,0.08279826107357106,0.060299047033977614,0.006855552036807234
